author_id,author_name
2077037171,Yoshiaki Komoto
144458698,J. Ruggill
32825358,K. Krol
144773547,N. Terry
146998158,Iveth Argel Rodríguez
33805706,A. Kimchi
144108545,B. Pérez
122843448,R. Arthur
93030505,М. М. Кугейко
6903017,J. Koudstaal
4875781,I. Leroux
48438399,T. Miyoshi
73581617,傅丹琦
108352563,Renata Maria de Bittencourt Druszcz
92618604,나재정
1393668031,J. Roos‐Hesselink
2214663909,Marcelle Tacima Dos Santos
103053200,U. Pittsburgh
48736872,S. Shaukat
2297688665,Ellen Loots
4274996,R. Mestril
15067434,H. Jeon
2089241772,I. J. Ibanga
52279433,Adnan Husaković
145977185,M. Grilli
47302736,A. Tartaglia
7163321,E. N. Nesterov
2927138,Hanbing Dan
9914334,S. Purisch
2050941156,Kristopher Y West
77867731,N. Bauer
2156493637,Michael K. Richardson
4388539,I. Rakotoarivony
79827922,荒川 美保
4975904,J. Vácha
29324351,C. Knight
92824559,V. Chithambaram
145632931,D. Hollingsworth
146755709,Ferdynand Antonius Tonak
27243856,R. Bowling
13028700,C. Stoppani
2340913193,S. A. Hurvitz
135334218,伸也 大和田
66677541,Verity Ma
17308655,Duanqin Xiong
40804109,A. Milone
33620516,R. Qiao
2128920611,Panwei Du
83632534,Trivedi Jk
101616718,A. Ramani
1422110949,Kim Forrester-Dumont
2109346288,Ying-Ying Chen
2090707345,M. Nursan
2346978807,Andrea De Girolamo
2342568216,Jiarong Li
4645287,S. Vatner
6402114,T. Iwasaka
123914815,Qiuping Tang
116185712,小森 規雄
46718449,L. Siransy
2164693127,Sujitha P
2068118699,C. A. Nelson
3397099,A. Hefti
52299638,Khalid Alsulaiman
38728759,Tanya W. Moseley
52343545,Tessa
7251534,Shreyartha Mukherjee
2078664385,Ana Carla Resende Fraiz
2084285998,Guo Jia-hao
79802763,M. McKenna
91681091,A. Nain
2146071378,Lei Chen
107776262,N. Randeraad
2644247,P. Grathwohl
145031419,M. Wood
113472241,M. Hisashi
8766083,A. F. Valdés
144898351,V. Kovachev
72602194,Chunguang Wei
29438618,P. Gotseff
2152767922,Jian Wang
116895784,Sabrina Sedlmayer
1720124,G. Karniadakis
66627403,R. V. D. Helm
2085320162,H. James
